[gate_m15_g1] out-00100.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7485, failures=0
[gate_m15_g1] out-00101.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00102.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00103.safetensors: 424 tensors, 1445888 rows, 5648 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00104.safetensors: 412 tensors, 1409024 rows, 5504 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00105.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00106.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00107.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00108.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00109.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00110.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00111.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00112.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00113.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00114.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00115.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7540, failures=0
[gate_m15_g1] out-00116.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7539, failures=0
[gate_m15_g1] out-00117.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7535, failures=0
[gate_m15_g1] out-00118.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7521, failures=0
[gate_m15_g1] out-00119.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7469, failures=0
[gate_m15_g1] out-00120.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7499, failures=0
[gate_m15_g1] out-00121.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7535, failures=0
[gate_m15_g1] out-00122.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7535, failures=0
[gate_m15_g1] out-00123.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7534, failures=0
[gate_m15_g1] out-00124.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7529, failures=0
[gate_m15_g1] out-00125.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7532, failures=0
[gate_m15_g1] out-00126.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7530, failures=0
[gate_m15_g1] out-00127.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7531, failures=0
[gate_m15_g1] out-00128.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7528, failures=0
[gate_m15_g1] out-00129.safetensors: 409 tensors, 1398784 rows, 5464 blocks checked bit-exact vs source, ratio=0.7526, failures=0
[gate_m15_g1] out-00130.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7523, failures=0
[gate_m15_g1] out-00131.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7523, failures=0
[gate_m15_g1] out-00132.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7523, failures=0
[gate_m15_g1] out-00133.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7500, failures=0
[gate_m15_g1] out-00134.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7479, failures=0
[gate_m15_g1] out-00135.safetensors: 124 tensors, 421888 rows, 1648 blocks checked bit-exact vs source, ratio=0.7482, failures=0
[gate_m15_g1] out-00136.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-00137.safetensors: 341 tensors, 1165312 rows, 4552 blocks checked bit-exact vs source, ratio=0.7497, failures=0
[gate_m15_g1] out-00138.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7491, failures=0
[gate_m15_g1] out-00139.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7509, failures=0
[gate_m15_g1] out-00140.safetensors: 359 tensors, 1222656 rows, 4776 blocks checked bit-exact vs source, ratio=0.7513, failures=0
[gate_m15_g1] out-idx-00000.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00001.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00002.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00003.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00004.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00005.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00006.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00007.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00008.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00009.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00010.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00011.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00012.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00013.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00014.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00015.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00016.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00017.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00018.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-idx-00019.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-mtp-00000.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-mtp-00001.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] out-mtp-00002.safetensors: 0 tensors, 0 rows, 0 blocks checked bit-exact vs source, ratio=nan, failures=0
[gate_m15_g1] bit-exactness: 57600 tensors / 196608000 rows / 768000 blocks across 164 shard(s) -> PASS (ratio 0.7521)
[gate_m15_g1] corruption/truncation battery: PASS
    flip_payload_byte: PASS
    flip_row_offsets_byte: PASS
    truncation_fails_closed: PASS
    block_checksum_localizes_corruption: PASS
    bad_magic_rejected: PASS

[gate_m15_g1] report written -> results/gate_m15_g1-FULL-CONTAINER-20260720T023306Z.json
GATE G1: PASS
